folds,YEAR,var,cimp
Resample06,2016,Rad_1,348.14277959942586
Resample06,2016,Rad_2,34.76576800472627
Resample06,2016,Rad_3,340.81682032159677
Resample06,2016,Rad_4,508.86982434583274
Resample06,2016,vpd_pre,516.2084762463646
Resample06,2016,vpd_1,229.81737099921156
Resample06,2016,vpd_2,13.742831486281938
Resample06,2016,vpd_3,146.98382626079052
Resample06,2016,vpd_4,47.772102823889
Resample06,2016,Q_1,188.80719519285572
Resample06,2016,Q_2,212.60752152492816
Resample06,2016,Q_3,54.316625664806345
Resample06,2016,Q_4,50.473662815808204
Resample06,2016,YEAR,118.04697258123458
Resample07,2017,TILL,1759.8134599655393
Resample07,2017,FUNG,1911.0122816555702
Resample07,2017,INOC,4043.8355758433895
Resample07,2017,SOM,1002.8652949078833
Resample07,2017,Clay,-39.53524781716638
Resample07,2017,Silt,74.24971283496852
Resample07,2017,Sand,297.8963887991282
Resample07,2017,Pp_pre,451.91890036775527
Resample07,2017,Pp_1,277.4343502661845
Resample07,2017,Pp_2,144.0372212599631
Resample07,2017,Pp_3,433.6064716872011
Resample07,2017,Pp_4,903.793156061373
Resample07,2017,SDI_pre,110.6104775905743
Resample07,2017,SDI_1,16.771072003150767
Resample07,2017,SDI_2,20.401191043017025
Resample07,2017,SDI_3,146.51443421288366
Resample07,2017,SDI_4,5.399410074000189
Resample07,2017,AWDR_pre,324.7619547265206
Resample07,2017,AWDR_1,-166.22976696103288
Resample07,2017,AWDR_2,108.73737120497215
Resample07,2017,AWDR_3,235.12626512846472
Resample07,2017,AWDR_4,648.9675223821122
Resample07,2017,Tm_pre,129.40432139416748
Resample07,2017,Tm_1,86.0698863738132
Resample07,2017,Tm_2,74.41455104507214
Resample07,2017,Tm_3,137.69113208345865
Resample07,2017,Tm_4,92.2143389135538
Resample07,2017,Rad_1,263.191634708528
Resample07,2017,Rad_2,332.7893837174491
Resample07,2017,Rad_3,496.19211307033925
Resample07,2017,Rad_4,-3.0725292788178193
Resample07,2017,vpd_pre,693.3403324691643
Resample07,2017,vpd_1,255.0431929587689
Resample07,2017,vpd_2,-44.896139321457014
Resample07,2017,vpd_3,2.066494652924885
Resample07,2017,vpd_4,55.35696788817208
Resample07,2017,Q_1,49.02631616289786
Resample07,2017,Q_2,49.069935373251504
Resample07,2017,Q_3,-21.532209496027498
Resample07,2017,Q_4,230.38823695469182
Resample07,2017,YEAR,-239.18322753327288
Resample08,2019,TILL,968.6876565084706
